tas,"	Year", Month, Country, ISO3, ISO2
12.2167,1978,5,USA,,
17.113,1978,6,USA,,
20.209,1978,7,USA,,
19.1273,1978,8,USA,,
15.389,1978,9,USA,,
7.77141,1978,10,USA,,
1.01967,1978,11,USA,,
-5.0346,1978,12,USA,,
-8.366,1979,1,USA,,
-8.2294,1979,2,USA,,
0.66697,1979,3,USA,,
5.98523,1979,4,USA,,
12.1222,1979,5,USA,,
16.8868,1979,6,USA,,
19.9897,1979,7,USA,,
19.0226,1979,8,USA,,
15.5126,1979,9,USA,,
9.1777,1979,10,USA,,
1.28026,1979,11,USA,,
-3.978,1979,12,USA,,
-6.0696,1980,1,USA,,
-3.2501,1980,2,USA,,
-0.191,1980,3,USA,,
6.69966,1980,4,USA,,
12.5773,1980,5,USA,,
17.2589,1980,6,USA,,
20.8302,1980,7,USA,,
19.0481,1980,8,USA,,
14.8273,1980,9,USA,,
7.74462,1980,10,USA,,
1.16124,1980,11,USA,,
-5.2687,1980,12,USA,,
-2.4834,1981,1,USA,,
-2.2224,1981,2,USA,,
2.22483,1981,3,USA,,
7.91411,1981,4,USA,,
12.357,1981,5,USA,,
17.6975,1981,6,USA,,
19.9287,1981,7,USA,,
18.8516,1981,8,USA,,
14.4006,1981,9,USA,,
7.36811,1981,10,USA,,
1.98585,1981,11,USA,,
-4.1618,1981,12,USA,,
-8.3162,1982,1,USA,,
-4.4987,1982,2,USA,,
0.4439,1982,3,USA,,
4.53691,1982,4,USA,,
12.1469,1982,5,USA,,
16.2712,1982,6,USA,,
19.8445,1982,7,USA,,
18.9015,1982,8,USA,,
14.4241,1982,9,USA,,
6.70452,1982,10,USA,,
-0.0877,1982,11,USA,,
-2.6187,1982,12,USA,,
-5.1608,1983,1,USA,,
-2.3307,1983,2,USA,,
0.76841,1983,3,USA,,
4.93693,1983,4,USA,,
11.3335,1983,5,USA,,
16.7952,1983,6,USA,,
20.2687,1983,7,USA,,
19.9568,1983,8,USA,,
14.3827,1983,9,USA,,
7.75423,1983,10,USA,,
1.54522,1983,11,USA,,
-6.8413,1983,12,USA,,
-6.5174,1984,1,USA,,
-4.1186,1984,2,USA,,
0.2184,1984,3,USA,,
