pr,"	Year", Month, Country, ISO3, ISO2
32.1961,1978,10,USA,,
54.94,1978,11,USA,,
56.1754,1978,12,USA,,
64.5055,1979,1,USA,,
47.7481,1979,2,USA,,
58.8338,1979,3,USA,,
61.8262,1979,4,USA,,
62.0598,1979,5,USA,,
60.0247,1979,6,USA,,
75.0283,1979,7,USA,,
68.6359,1979,8,USA,,
54.5788,1979,9,USA,,
50.6007,1979,10,USA,,
56.4869,1979,11,USA,,
40.172,1979,12,USA,,
53.8477,1980,1,USA,,
39.8746,1980,2,USA,,
65.0103,1980,3,USA,,
47.7554,1980,4,USA,,
60.6623,1980,5,USA,,
59.4325,1980,6,USA,,
55.925,1980,7,USA,,
64.2282,1980,8,USA,,
62.3516,1980,9,USA,,
44.0331,1980,10,USA,,
37.596,1980,11,USA,,
32.8471,1980,12,USA,,
24.7851,1981,1,USA,,
46.8502,1981,2,USA,,
44.4303,1981,3,USA,,
44.2904,1981,4,USA,,
69.1023,1981,5,USA,,
75.0873,1981,6,USA,,
78.9001,1981,7,USA,,
69.6769,1981,8,USA,,
47.9986,1981,9,USA,,
65.8729,1981,10,USA,,
44.346,1981,11,USA,,
47.1096,1981,12,USA,,
57.2176,1982,1,USA,,
42.6453,1982,2,USA,,
54.2661,1982,3,USA,,
49.4645,1982,4,USA,,
69.4853,1982,5,USA,,
73.3172,1982,6,USA,,
72.9644,1982,7,USA,,
61.2726,1982,8,USA,,
65.4445,1982,9,USA,,
53.8019,1982,10,USA,,
60.978,1982,11,USA,,
73.958,1982,12,USA,,
41.5242,1983,1,USA,,
49.8992,1983,2,USA,,
67.7777,1983,3,USA,,
66.2681,1983,4,USA,,
69.4808,1983,5,USA,,
62.6443,1983,6,USA,,
52.2238,1983,7,USA,,
64.402,1983,8,USA,,
55.0382,1983,9,USA,,
58.6189,1983,10,USA,,
76.1089,1983,11,USA,,
65.8267,1983,12,USA,,
31.4867,1984,1,USA,,
42.4072,1984,2,USA,,
53.1243,1984,3,USA,,
57.165,1984,4,USA,,
62.3084,1984,5,USA,,
65.0357,1984,6,USA,,
69.4197,1984,7,USA,,
64.475,1984,8,USA,,
43.0404,1984,9,USA,,
70.8121,1984,10,USA,,
54.962,1984,11,USA,,
55.6472,1984,12,USA,,
34.2573,1985,1,USA,,
43.6042,1985,2,USA,,
54.38,1985,3,USA,,
38.8431,1985,4,USA,,
54.7494,1985,5,USA,,
62.8106,1985,6,USA,,
59.4236,1985,7,USA,,
70.9052,1985,8,USA,,
75.2916,1985,9,USA,,
66.9191,1985,10,USA,,
71.7675,1985,11,USA,,
34.8134,1985,12,USA,,
32.1345,1986,1,USA,,
52.4319,1986,2,USA,,
39.493,1986,3,USA,,
44.9937,1986,4,USA,,
57.9664,1986,5,USA,,
65.3264,1986,6,USA,,
68.9679,1986,7,USA,,
69.2635,1986,8,USA,,
84.6268,1986,9,USA,,
61.9378,1986,10,USA,,
60.5564,1986,11,USA,,
43.8945,1986,12,USA,,
46.317,1987,1,USA,,
46.1898,1987,2,USA,,
50.9745,1987,3,USA,,
30.1266,1987,4,USA,,
66.1281,1987,5,USA,,
62.3023,1987,6,USA,,
68.243,1987,7,USA,,
62.9973,1987,8,USA,,
56.9571,1987,9,USA,,
30.905,1987,10,USA,,
55.5283,1987,11,USA,,
60.537,1987,12,USA,,
40.159,1988,1,USA,,
33.5925,1988,2,USA,,
42.6669,1988,3,USA,,
46.9884,1988,4,USA,,
47.5336,1988,5,USA,,
40.2972,1988,6,USA,,
60.9659,1988,7,USA,,
67.066,1988,8,USA,,
61.2511,1988,9,USA,,
35.6773,1988,10,USA,,
63.2807,1988,11,USA,,
39.9485,1988,12,USA,,
42.8026,1989,1,USA,,
43.3013,1989,2,USA,,
54.4641,1989,3,USA,,
38.0477,1989,4,USA,,
69.358,1989,5,USA,,
81.5283,1989,6,USA,,
68.9533,1989,7,USA,,
70.3098,1989,8,USA,,
66.277,1989,9,USA,,
44.6291,1989,10,USA,,
38.884,1989,11,USA,,
33.5797,1989,12,USA,,
56.0183,1990,1,USA,,
55.0666,1990,2,USA,,
57.2162,1990,3,USA,,
48.5297,1990,4,USA,,
75.5454,1990,5,USA,,
58.3364,1990,6,USA,,
71.7865,1990,7,USA,,
67.3301,1990,8,USA,,
56.8717,1990,9,USA,,
60.1428,1990,10,USA,,
45.8675,1990,11,USA,,
60.9985,1990,12,USA,,
